Qual o tamanho em bits para a váriavel do tipo short?;8;false;16;true;32;false;64;false;FACIL;
A palavra reservada abstratc em java não é usada em?;classe;false;atributo;true;método;false;nenhuma das alternativas;false;FACIL;
Qual palavra reservada que é usada para declarar uma constante em java?;final;true;CONST;false;FINAL;false;nenhuma das alternativas;false;FACIL;
Qual palavra reservada utilizamos para criar a instância de uma classe?;allocate;false;instanceof;false;inherits;false;new;true;FACIL;
Qual palavra reservada utilizamos para chamar ou invocar um método de uma classe base?;MyBase;false;MyClass;false;super;true;nenhuma das alternativas;false;MEDIO;
A que pacote pertence a classe JFrame?;java.awt;false;javax.swing;true;java.rmi;false;java.awt.event;false;MEDIO;
Qual palavra reservada utilizamos para que uma classe possa derivar de outra classe?;derive;false;inherits;false;instanceof;false;extends;true;MEDIO;
Qual vetor em java não existe?;Unidimensional;false;Bidimensional;false;Tridimensional;false;Nenhuma das alternativas;true;MEDIO;
O resultado da tabala verdade de (F || ((T) && !(T))) é igual a qual resultado?;(T || F);false;!(F && F);false;!(F || !(!T));true;Nenhuma das alternativas;false;DIFICIL;
Na biblioteca gráfica Swing. Para criar um elemento gráfico "caixa de texto" devemos instanciar?;JLabel("caixa de texto");false;JBox caixa = "Caixa de Texto";false;JTextField caixa = new JTextField();true;Nenhuma alternativa;false;DIFICIL; 
